Order Date,Number of Profitable Days per Month
2011-01-01,22
2011-02-01,21
2011-03-01,22
2011-04-01,20
2011-05-01,23
2011-06-01,26
2011-07-01,25
2011-08-01,20
2011-09-01,24
2011-10-01,26
2011-11-01,24
2011-12-01,27
2012-01-01,25
2012-02-01,24
2012-03-01,23
2012-04-01,28
2012-05-01,21
2012-06-01,27
2012-07-01,28
2012-08-01,26
2012-09-01,24
2012-10-01,26
2012-11-01,22
2012-12-01,27
2013-01-01,28
2013-02-01,22
2013-03-01,26
2013-04-01,24
2013-05-01,30
2013-06-01,25
2013-07-01,25
2013-08-01,26
2013-09-01,21
2013-10-01,27
2013-11-01,29
2013-12-01,28
2014-01-01,27
2014-02-01,25
2014-03-01,26
2014-04-01,26
2014-05-01,26
2014-06-01,25
2014-07-01,24
2014-08-01,26
2014-09-01,26
2014-10-01,27
2014-11-01,29
2014-12-01,27
