Customer ID,Recency Score,Frequency Score,Monetary Score,Overall Score
PB-192102,5,5,5,5.0
RA-199154,5,5,5,5.0
PS-190453,5,5,5,5.0
AT-107352,5,5,5,5.0
MM-179203,5,5,5,5.0
CP-123403,5,5,5,5.0
TS-216102,5,5,5,5.0
CC-124303,5,5,5,5.0
TB-112502,5,5,5,5.0
DW-131951,5,5,5,5.0
KM-167204,5,5,5,5.0
DW-135851,5,5,5,5.0
PW-190302,5,5,5,5.0
Dl-136001,5,5,5,5.0
CC-126101,5,5,5,5.0
TS-213401,5,5,5,5.0
BH-117104,5,5,5,5.0
MJ-177404,5,5,5,5.0
BK-112601,5,5,5,5.0
AG-107653,5,5,5,5.0
MH-181154,5,5,5,5.0
LA-167802,5,5,5,5.0
EB-139753,5,5,5,5.0
KL-165554,5,5,5,5.0
TA-213852,5,5,5,5.0
MO-178001,5,5,5,5.0
BP-111852,5,5,5,5.0
SM-209504,5,5,5,5.0
AF-108701,5,5,5,5.0
MV-174852,5,5,5,5.0
BB-115454,5,5,5,5.0
PO-188504,5,5,5,5.0
TZ-214453,5,5,5,5.0
RR-195253,5,5,5,5.0
CS-118451,5,5,5,5.0
SW-202753,5,5,5,5.0
TT-214604,5,5,5,5.0
AW-108402,5,5,5,5.0
HM-148604,5,5,5,5.0
HM-148602,5,5,5,5.0
HM-148601,5,5,5,5.0
KH-163301,5,5,5,5.0
SW-207552,5,5,5,5.0
DR-128804,5,5,5,5.0
KH-165104,5,5,5,5.0
SZ-200351,5,5,5,5.0
TT-210701,5,5,5,5.0
MH-177851,5,5,5,5.0
AS-102252,5,5,5,5.0
KB-163151,5,5,5,5.0
LC-168854,5,5,5,5.0
LM-70652,5,5,5,5.0
CM-118302,5,5,5,5.0
LP-170953,5,5,5,5.0
TC-211451,5,5,5,5.0
RE-194051,5,5,5,5.0
BM-111403,5,5,5,5.0
FO-143052,5,5,5,5.0
MD-173503,5,5,5,5.0
EM-139601,5,5,5,5.0
EM-139602,5,5,5,5.0
CL-127001,5,5,5,5.0
LS-172301,5,5,5,5.0
MC-178451,5,5,5,5.0
AR-103452,5,5,5,5.0
MC-176353,5,5,5,5.0
PB-192101,5,5,5,5.0
EM-141403,5,5,5,5.0
RD-195852,5,5,5,5.0
MB-173052,5,5,5,5.0
EP-139154,5,5,5,5.0
ES-140804,5,5,5,5.0
RB-194654,5,5,5,5.0
GB-145754,5,5,5,5.0
MG-176951,5,5,5,5.0
GH-146652,5,5,5,5.0
CD-119202,5,5,5,5.0
AH-100752,5,5,5,5.0
TB-214001,5,5,5,5.0
LC-70502,5,5,5,5.0
RB-193302,5,5,5,5.0
GK-146201,5,5,5,5.0
RB-193601,5,5,5,5.0
AH-102103,5,5,5,5.0
MG-182052,5,5,5,5.0
LH-167503,5,5,5,5.0
GH-144102,5,5,5,5.0
AS-100452,5,5,5,5.0
BN-114703,5,5,5,5.0
